name,model_sku,current_price,original_price,savings,discount_percentage,url,scraped_at
"Refurbished Mac mini Apple M4 Chip with 10-Core CPU and 10-Core GPU, Gigabit Ethernet",FU9D3B,509.0,599.0,90.0,15.03,https://www.apple.com/uk/shop/product/FU9D3B/A/Refurbished-Mac-mini-Apple-M4-Chip-with-10-Core-CPU-and-10-Core-GPU-Gigabit-Ethernet-?fnode=511f7fead31567dadcda1018efa3a3165aca678aedb1f1fc36e9b05000ca263ce65ab04f5cd34061f2cbdfb2cc2f22ceb0b88561ef68db312610a214d3b1c013279bfc91b790a4f072391a15dd84cfd2,2025-07-31 12:12:00
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 8‑Core GPU - Sky Blue,FC6T4B,849.0,999.0,150.0,15.02,https://www.apple.com/uk/shop/product/FC6T4B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-8%E2%80%91Core-GPU-Sky-Blue?fnode=511f7fead31567dadcda1018efa3a3165aca678aedb1f1fc36e9b05000ca263ce65ab04f5cd34061f2cbdfb2cc2f22ceb0b88561ef68db312610a214d3b1c013279bfc91b790a4f072391a15dd84cfd2,2025-07-31 12:12:00
"Refurbished Mac mini Apple M4 Chip with 10-Core CPU and 10-Core GPU, Gigabit Ethernet",FCYT4B,849.0,999.0,150.0,15.02,https://www.apple.com/uk/shop/product/FCYT4B/A/Refurbished-Mac-mini-Apple-M4-Chip-with-10-Core-CPU-and-10-Core-GPU-Gigabit-Ethernet-?fnode=511f7fead31567dadcda1018efa3a3165aca678aedb1f1fc36e9b05000ca263ce65ab04f5cd34061f2cbdfb2cc2f22ceb0b88561ef68db312610a214d3b1c013279bfc91b790a4f072391a15dd84cfd2,2025-07-31 12:12:00
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 8‑Core GPU - Silver,FW0W3B,849.0,999.0,150.0,15.02,https://www.apple.com/uk/shop/product/FW0W3B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-8%E2%80%91Core-GPU-Silver?fnode=511f7fead31567dadcda1018efa3a3165aca678aedb1f1fc36e9b05000ca263ce65ab04f5cd34061f2cbdfb2cc2f22ceb0b88561ef68db312610a214d3b1c013279bfc91b790a4f072391a15dd84cfd2,2025-07-31 12:12:00
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 8‑Core GPU - Midnight,FW123B,849.0,999.0,150.0,15.02,https://www.apple.com/uk/shop/product/FW123B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-8%E2%80%91Core-GPU-Midnight?fnode=511f7fead31567dadcda1018efa3a3165aca678aedb1f1fc36e9b05000ca263ce65ab04f5cd34061f2cbdfb2cc2f22ceb0b88561ef68db312610a214d3b1c013279bfc91b790a4f072391a15dd84cfd2,2025-07-31 12:12:00
"Refurbished Mac mini Apple M4 Chip with 10-Core CPU and 10-Core GPU, Gigabit Ethernet",G1CF7B,849.0,,,,https://www.apple.com/uk/shop/product/G1CF7B/A/Refurbished-Mac-mini-Apple-M4-Chip-with-10-Core-CPU-and-10-Core-GPU-Gigabit-Ethernet-?fnode=511f7fead31567dadcda1018efa3a3165aca678aedb1f1fc36e9b05000ca263ce65ab04f5cd34061f2cbdfb2cc2f22ceb0b88561ef68db312610a214d3b1c013279bfc91b790a4f072391a15dd84cfd2,2025-07-31 12:12:00
"Refurbished Mac mini Apple M4 Chip with 10-Core CPU and 10-Core GPU, Gigabit Ethernet",G1CFAB,849.0,,,,https://www.apple.com/uk/shop/product/G1CFAB/A/Refurbished-Mac-mini-Apple-M4-Chip-with-10-Core-CPU-and-10-Core-GPU-Gigabit-Ethernet-?fnode=511f7fead31567dadcda1018efa3a3165aca678aedb1f1fc36e9b05000ca263ce65ab04f5cd34061f2cbdfb2cc2f22ceb0b88561ef68db312610a214d3b1c013279bfc91b790a4f072391a15dd84cfd2,2025-07-31 12:12:00
Refurbished 24-inch iMac Apple M3 Chip with 8-Core CPU and 8-Core GPU - Pink,FQRD3B,929.0,1199.0,270.0,22.52,https://www.apple.com/uk/shop/product/FQRD3B/A/Refurbished-24-inch-iMac-Apple-M3-Chip-with-8-Core-CPU-and-8-Core-GPU-Pink?fnode=511f7fead31567dadcda1018efa3a3165aca678aedb1f1fc36e9b05000ca263ce65ab04f5cd34061f2cbdfb2cc2f22ceb0b88561ef68db312610a214d3b1c013279bfc91b790a4f072391a15dd84cfd2,2025-07-31 12:12:00
Refurbished 24-inch iMac Apple M3 Chip with 8-Core CPU and 8-Core GPU - Blue,FQRC3B,929.0,1199.0,270.0,22.52,https://www.apple.com/uk/shop/product/FQRC3B/A/Refurbished-24-inch-iMac-Apple-M3-Chip-with-8-Core-CPU-and-8-Core-GPU-Blue?fnode=511f7fead31567dadcda1018efa3a3165aca678aedb1f1fc36e9b05000ca263ce65ab04f5cd34061f2cbdfb2cc2f22ceb0b88561ef68db312610a214d3b1c013279bfc91b790a4f072391a15dd84cfd2,2025-07-31 12:12:00
Refurbished 15-inch MacBook Air Apple M3 Chip with 8‑Core CPU and 10‑Core GPU - Space Grey,G1BP0B,929.0,,,,https://www.apple.com/uk/shop/product/G1BP0B/A/Refurbished-15-inch-MacBook-Air-Apple-M3-Chip-with-8-Core-CPU-and-10-Core-GPU-Space-Grey?fnode=511f7fead31567dadcda1018efa3a3165aca678aedb1f1fc36e9b05000ca263ce65ab04f5cd34061f2cbdfb2cc2f22ceb0b88561ef68db312610a214d3b1c013279bfc91b790a4f072391a15dd84cfd2,2025-07-31 12:12:00
