name,chip,cpu_cores,gpu_cores,memory,storage,display_size,color,current_price,original_price,savings,discount_percentage,connectivity,url,model_sku,scraped_at
Refurbished Mac mini Apple M2 Chip with 8‑Core CPU and 10‑Core GPU,M2,8-Core CPU,10-Core GPU,8GB,256GB,,,319.0,499.0,180.0,36.07,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FMFJ3B/A/refurbished-mac-mini-apple-m2-chip-with-8%E2%80%91core-cpu-and-10%E2%80%91core-gpu?fnode=8b57f748264a8c5211f0c73dec43db1253c86137b6d8926f7c9694419b92148c1ba6363986d4c775e7ba120a2b18a6b35c6373592eeaebddc092f404fd9c40dc5ed98689579f7e18f95bfeec36f34607,FMFJ3B,2025-07-30 09:37:37
"Refurbished Mac mini Apple M4 Chip with 10-Core CPU and 10-Core GPU, Gigabit Ethernet",M4,10-Core CPU,10-Core GPU,16GB,256GB,,,509.0,599.0,90.0,15.03,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FU9D3B/A/Refurbished-Mac-mini-Apple-M4-Chip-with-10-Core-CPU-and-10-Core-GPU-Gigabit-Ethernet-?fnode=8b57f748264a8c5211f0c73dec43db1253c86137b6d8926f7c9694419b92148c1ba6363986d4c775e7ba120a2b18a6b35c6373592eeaebddc092f404fd9c40dc5ed98689579f7e18f95bfeec36f34607,FU9D3B,2025-07-30 09:37:38
"Refurbished Mac mini Apple M4 Chip with 10-Core CPU and 10-Core GPU, Gigabit Ethernet",M4,10-Core CPU,10-Core GPU,16GB,512GB,,,679.0,799.0,120.0,15.02,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FU9E3B/A/Refurbished-Mac-mini-Apple-M4-Chip-with-10-Core-CPU-and-10-Core-GPU-Gigabit-Ethernet-?fnode=8b57f748264a8c5211f0c73dec43db1253c86137b6d8926f7c9694419b92148c1ba6363986d4c775e7ba120a2b18a6b35c6373592eeaebddc092f404fd9c40dc5ed98689579f7e18f95bfeec36f34607,FU9E3B,2025-07-30 09:37:39
Refurbished 13-inch MacBook Air Apple M2 Chip with 8‑Core CPU and 10‑Core GPU - Space Grey,M2,8-Core CPU,10-Core GPU,8GB,512GB,13-inch,Space Grey,799.0,1099.0,300.0,27.3,Wi-Fi,https://www.apple.com/uk/shop/product/FLXX3B/A/refurbished-13-inch-macbook-air-apple-m2-chip-with-8%E2%80%91core-cpu-and-10%E2%80%91core-gpu-space-gray?fnode=8b57f748264a8c5211f0c73dec43db1253c86137b6d8926f7c9694419b92148c1ba6363986d4c775e7ba120a2b18a6b35c6373592eeaebddc092f404fd9c40dc5ed98689579f7e18f95bfeec36f34607,FLXX3B,2025-07-30 09:37:39
Refurbished 13-inch MacBook Air Apple M2 Chip with 8‑Core CPU and 10‑Core GPU - Midnight,M2,8-Core CPU,10-Core GPU,8GB,512GB,13-inch,Midnight,799.0,1099.0,300.0,27.3,Wi-Fi,https://www.apple.com/uk/shop/product/FLY43B/A/refurbished-13-inch-macbook-air-apple-m2-chip-with-8%E2%80%91core-cpu-and-10%E2%80%91core-gpu-midnight?fnode=8b57f748264a8c5211f0c73dec43db1253c86137b6d8926f7c9694419b92148c1ba6363986d4c775e7ba120a2b18a6b35c6373592eeaebddc092f404fd9c40dc5ed98689579f7e18f95bfeec36f34607,FLY43B,2025-07-30 09:37:40
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 8‑Core GPU - Sky Blue,M4,10-Core CPU,8-Core GPU,16GB,256GB,13-inch,Blue,849.0,999.0,150.0,15.02,Wi-Fi,https://www.apple.com/uk/shop/product/FC6T4B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-8%E2%80%91Core-GPU-Sky-Blue?fnode=8b57f748264a8c5211f0c73dec43db1253c86137b6d8926f7c9694419b92148c1ba6363986d4c775e7ba120a2b18a6b35c6373592eeaebddc092f404fd9c40dc5ed98689579f7e18f95bfeec36f34607,FC6T4B,2025-07-30 09:37:41
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 8‑Core GPU - Silver,M4,10-Core CPU,8-Core GPU,16GB,256GB,13-inch,Silver,849.0,999.0,150.0,15.02,Wi-Fi,https://www.apple.com/uk/shop/product/FW0W3B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-8%E2%80%91Core-GPU-Silver?fnode=8b57f748264a8c5211f0c73dec43db1253c86137b6d8926f7c9694419b92148c1ba6363986d4c775e7ba120a2b18a6b35c6373592eeaebddc092f404fd9c40dc5ed98689579f7e18f95bfeec36f34607,FW0W3B,2025-07-30 09:37:42
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 8‑Core GPU - Starlight,M4,10-Core CPU,8-Core GPU,16GB,256GB,13-inch,Starlight,849.0,999.0,150.0,15.02,Wi-Fi,https://www.apple.com/uk/shop/product/FW0Y3B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-8%E2%80%91Core-GPU-Starlight?fnode=8b57f748264a8c5211f0c73dec43db1253c86137b6d8926f7c9694419b92148c1ba6363986d4c775e7ba120a2b18a6b35c6373592eeaebddc092f404fd9c40dc5ed98689579f7e18f95bfeec36f34607,FW0Y3B,2025-07-30 09:37:43
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 8‑Core GPU - Midnight,M4,10-Core CPU,8-Core GPU,16GB,256GB,13-inch,Midnight,849.0,999.0,150.0,15.02,Wi-Fi,https://www.apple.com/uk/shop/product/FW123B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-8%E2%80%91Core-GPU-Midnight?fnode=8b57f748264a8c5211f0c73dec43db1253c86137b6d8926f7c9694419b92148c1ba6363986d4c775e7ba120a2b18a6b35c6373592eeaebddc092f404fd9c40dc5ed98689579f7e18f95bfeec36f34607,FW123B,2025-07-30 09:37:44
"Refurbished Mac mini Apple M4 Chip with 10-Core CPU and 10-Core GPU, Gigabit Ethernet",M4,10-Core CPU,10-Core GPU,16GB,1TB,,,,,,,Gigabit Ethernet,https://www.apple.com/uk/shop/product/G1CF7B/A/Refurbished-Mac-mini-Apple-M4-Chip-with-10-Core-CPU-and-10-Core-GPU-Gigabit-Ethernet-?fnode=8b57f748264a8c5211f0c73dec43db1253c86137b6d8926f7c9694419b92148c1ba6363986d4c775e7ba120a2b18a6b35c6373592eeaebddc092f404fd9c40dc5ed98689579f7e18f95bfeec36f34607,G1CF7B,2025-07-30 09:37:45
