name,chip,cpu_cores,gpu_cores,memory,storage,display_size,color,current_price,original_price,savings,discount_percentage,connectivity,url,model_sku,scraped_at
"Refurbished Mac mini Apple M4 Chip with 10-Core CPU and 10-Core GPU, Gigabit Ethernet",M4,10-Core CPU,10-Core GPU,16GB,256GB,,,509.0,599.0,90.0,15.03,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FU9D3B/A/Refurbished-Mac-mini-Apple-M4-Chip-with-10-Core-CPU-and-10-Core-GPU-Gigabit-Ethernet-?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,FU9D3B,2025-07-31 10:06:11
"Refurbished Mac mini Apple M4 Chip with 10-Core CPU and 10-Core GPU, Gigabit Ethernet",M4,10-Core CPU,10-Core GPU,16GB,512GB,,,679.0,799.0,120.0,15.02,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FU9E3B/A/Refurbished-Mac-mini-Apple-M4-Chip-with-10-Core-CPU-and-10-Core-GPU-Gigabit-Ethernet-?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,FU9E3B,2025-07-31 10:06:11
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 8‑Core GPU - Sky Blue,M4,10-Core CPU,8-Core GPU,16GB,256GB,13-inch,Blue,849.0,999.0,150.0,15.02,Wi-Fi,https://www.apple.com/uk/shop/product/FC6T4B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-8%E2%80%91Core-GPU-Sky-Blue?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,FC6T4B,2025-07-31 10:06:11
"Refurbished Mac mini Apple M4 Chip with 10-Core CPU and 10-Core GPU, Gigabit Ethernet",M4,10-Core CPU,10-Core GPU,24GB,512GB,,,849.0,999.0,150.0,15.02,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FCYT4B/A/Refurbished-Mac-mini-Apple-M4-Chip-with-10-Core-CPU-and-10-Core-GPU-Gigabit-Ethernet-?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,FCYT4B,2025-07-31 10:06:11
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 8‑Core GPU - Silver,M4,10-Core CPU,8-Core GPU,16GB,256GB,13-inch,Silver,849.0,999.0,150.0,15.02,Wi-Fi,https://www.apple.com/uk/shop/product/FW0W3B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-8%E2%80%91Core-GPU-Silver?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,FW0W3B,2025-07-31 10:06:11
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 8‑Core GPU - Midnight,M4,10-Core CPU,8-Core GPU,16GB,256GB,13-inch,Midnight,849.0,999.0,150.0,15.02,Wi-Fi,https://www.apple.com/uk/shop/product/FW123B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-8%E2%80%91Core-GPU-Midnight?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,FW123B,2025-07-31 10:06:11
"Refurbished Mac mini Apple M4 Chip with 10-Core CPU and 10-Core GPU, Gigabit Ethernet",M4,10-Core CPU,10-Core GPU,16GB,1TB,,,849.0,,,,Gigabit Ethernet,https://www.apple.com/uk/shop/product/G1CF7B/A/Refurbished-Mac-mini-Apple-M4-Chip-with-10-Core-CPU-and-10-Core-GPU-Gigabit-Ethernet-?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,G1CF7B,2025-07-31 10:06:11
"Refurbished Mac mini Apple M4 Chip with 10-Core CPU and 10-Core GPU, Gigabit Ethernet",M4,10-Core CPU,10-Core GPU,32GB,256GB,,,849.0,,,,Gigabit Ethernet,https://www.apple.com/uk/shop/product/G1CFAB/A/Refurbished-Mac-mini-Apple-M4-Chip-with-10-Core-CPU-and-10-Core-GPU-Gigabit-Ethernet-?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,G1CFAB,2025-07-31 10:06:11
Refurbished 24-inch iMac Apple M3 Chip with 8-Core CPU and 8-Core GPU - Pink,M3,8-Core CPU,8-Core GPU,8GB,256GB,24-inch,Pink,929.0,1199.0,270.0,22.52,Wi-Fi,https://www.apple.com/uk/shop/product/FQRD3B/A/Refurbished-24-inch-iMac-Apple-M3-Chip-with-8-Core-CPU-and-8-Core-GPU-Pink?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,FQRD3B,2025-07-31 10:06:11
Refurbished 24-inch iMac Apple M3 Chip with 8-Core CPU and 8-Core GPU - Blue,M3,8-Core CPU,8-Core GPU,8GB,256GB,24-inch,Blue,929.0,1199.0,270.0,22.52,Wi-Fi,https://www.apple.com/uk/shop/product/FQRC3B/A/Refurbished-24-inch-iMac-Apple-M3-Chip-with-8-Core-CPU-and-8-Core-GPU-Blue?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,FQRC3B,2025-07-31 10:06:11
Refurbished 15-inch MacBook Air Apple M3 Chip with 8‑Core CPU and 10‑Core GPU - Space Grey,M3,8-Core CPU,10-Core GPU,16GB,256GB,15-inch,Space Grey,929.0,,,,Wi-Fi,https://www.apple.com/uk/shop/product/G1BP0B/A/Refurbished-15-inch-MacBook-Air-Apple-M3-Chip-with-8-Core-CPU-and-10-Core-GPU-Space-Grey?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,G1BP0B,2025-07-31 10:06:11
Refurbished 15-inch MacBook Air Apple M3 Chip with 8‑Core CPU and 10‑Core GPU - Silver,M3,8-Core CPU,10-Core GPU,16GB,256GB,15-inch,Silver,929.0,,,,Wi-Fi,https://www.apple.com/uk/shop/product/G1BR0B/A/Refurbished-15-inch-MacBook-Air-Apple-M3-Chip-with-8-Core-CPU-and-10-Core-GPU-Silver?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,G1BR0B,2025-07-31 10:06:11
Refurbished 15-inch MacBook Air Apple M3 Chip with 8‑Core CPU and 10‑Core GPU - Starlight,M3,8-Core CPU,10-Core GPU,16GB,256GB,15-inch,Starlight,929.0,,,,Wi-Fi,https://www.apple.com/uk/shop/product/G1BT0B/A/Refurbished-15-inch-MacBook-Air-Apple-M3-Chip-with-8%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Starlight?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,G1BT0B,2025-07-31 10:06:11
Refurbished Mac mini Apple M2 Pro Chip with 10‑Core CPU and 16‑Core GPU,M2 Pro,10-Core CPU,16-Core GPU,16GB,512GB,,,999.0,1299.0,300.0,23.09,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FNH73B/A/refurbished-mac-mini-apple-m2-pro-chip-with-10%E2%80%91core-cpu-and-16%E2%80%91core-gpu?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,FNH73B,2025-07-31 10:06:11
"Refurbished 24-inch iMac Apple M1 Chip with 8‑Core CPU and 8‑Core GPU, Gigabit Ethernet - Orange",M1,8-Core CPU,8-Core GPU,8GB,256GB,24-inch,Orange,1009.0,1549.0,540.0,34.86,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FGPR3B/A/Refurbished-24-inch-iMac-Apple-M1-Chip-with-8%E2%80%91Core-CPU-and-8%E2%80%91Core-GPU-Gigabit-Ethernet-Silver?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,FGPR3B,2025-07-31 10:06:11
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Sky Blue,M4,10-Core CPU,10-Core GPU,16GB,512GB,13-inch,Blue,1019.0,1199.0,180.0,15.01,Wi-Fi,https://www.apple.com/uk/shop/product/FC6U4B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Sky-Blue?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,FC6U4B,2025-07-31 10:06:11
Refurbished 15-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Sky Blue,M4,10-Core CPU,10-Core GPU,16GB,256GB,15-inch,Blue,1019.0,1199.0,180.0,15.01,Wi-Fi,https://www.apple.com/uk/shop/product/FC7A4B/A/Refurbished-15-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Sky-Blue?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,FC7A4B,2025-07-31 10:06:11
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Silver,M4,10-Core CPU,10-Core GPU,16GB,512GB,13-inch,Silver,1019.0,1199.0,180.0,15.01,Wi-Fi,https://www.apple.com/uk/shop/product/FW0X3B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Silver?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,FW0X3B,2025-07-31 10:06:11
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Starlight,M4,10-Core CPU,10-Core GPU,16GB,512GB,13-inch,Starlight,1019.0,1199.0,180.0,15.01,Wi-Fi,https://www.apple.com/uk/shop/product/FW103B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Starlight?fnode=66185e490e5d60b477261c71a8fb108294aec1e80166fd3cc0829750f6281d66e7570dde40e78c6f1db5621c9615348dda041aad9c3a396d26ab6d8c53a2ef282dbfee8f7b50c28dfb5423af22c21eaa,FW103B,2025-07-31 10:06:11
