name,chip,cpu_cores,gpu_cores,memory,storage,display_size,color,current_price,original_price,savings,discount_percentage,connectivity,url,model_sku,scraped_at
"Refurbished Mac mini Apple M4 Chip with 10-Core CPU and 10-Core GPU, Gigabit Ethernet",M4,10-Core CPU,10-Core GPU,16GB,256GB,,,509.0,599.0,90.0,15.03,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FU9D3B/A/Refurbished-Mac-mini-Apple-M4-Chip-with-10-Core-CPU-and-10-Core-GPU-Gigabit-Ethernet-?fnode=5ce494fdc914b5c086d670eb5f4c0f3d2d1d44e80dbcecf01c96d1b30d1b99f4bf28930d2e9efcf18ef3912ed30907c79f709c5fe53295ab4714f93cd83140183f3fbe7ca99d72f7ed418a83724ee977,FU9D3B,2025-08-27 18:11:40
Refurbished 13-inch MacBook Air Apple M3 Chip with 8‑Core CPU and 10‑Core GPU - Space Grey,M3,8-Core CPU,10-Core GPU,24GB,256GB,13-inch,Space Grey,929.0,,,,Wi-Fi,https://www.apple.com/uk/shop/product/G1B6DB/A/Refurbished-13-inch-MacBook-Air-Apple-M3-Chip-with-8-core-CPU-and-10-core-GPU-Space-Grey?fnode=5ce494fdc914b5c086d670eb5f4c0f3d2d1d44e80dbcecf01c96d1b30d1b99f4bf28930d2e9efcf18ef3912ed30907c79f709c5fe53295ab4714f93cd83140183f3fbe7ca99d72f7ed418a83724ee977,G1B6DB,2025-08-27 18:11:40
Refurbished 13-inch MacBook Air Apple M3 Chip with 8‑Core CPU and 10‑Core GPU - Midnight,M3,8-Core CPU,10-Core GPU,24GB,256GB,13-inch,Midnight,929.0,,,,Wi-Fi,https://www.apple.com/uk/shop/product/G1BCDB/A/Refurbished-13-inch-MacBook-Air-Apple-M3-Chip-with-8-Core-CPU-and-10-Core-GPU-Midnight?fnode=5ce494fdc914b5c086d670eb5f4c0f3d2d1d44e80dbcecf01c96d1b30d1b99f4bf28930d2e9efcf18ef3912ed30907c79f709c5fe53295ab4714f93cd83140183f3fbe7ca99d72f7ed418a83724ee977,G1BCDB,2025-08-27 18:11:40
Refurbished Mac mini Apple M2 Pro Chip with 10‑Core CPU and 16‑Core GPU,M2 Pro,10-Core CPU,16-Core GPU,16GB,512GB,,,999.0,1299.0,300.0,23.09,Gigabit Ethernet,https://www.apple.com/uk/shop/product/FNH73B/A/refurbished-mac-mini-apple-m2-pro-chip-with-10%E2%80%91core-cpu-and-16%E2%80%91core-gpu?fnode=5ce494fdc914b5c086d670eb5f4c0f3d2d1d44e80dbcecf01c96d1b30d1b99f4bf28930d2e9efcf18ef3912ed30907c79f709c5fe53295ab4714f93cd83140183f3fbe7ca99d72f7ed418a83724ee977,FNH73B,2025-08-27 18:11:40
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Sky Blue,M4,10-Core CPU,10-Core GPU,16GB,512GB,13-inch,Blue,1019.0,1199.0,180.0,15.01,Wi-Fi,https://www.apple.com/uk/shop/product/FC6U4B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Sky-Blue?fnode=5ce494fdc914b5c086d670eb5f4c0f3d2d1d44e80dbcecf01c96d1b30d1b99f4bf28930d2e9efcf18ef3912ed30907c79f709c5fe53295ab4714f93cd83140183f3fbe7ca99d72f7ed418a83724ee977,FC6U4B,2025-08-27 18:11:40
Refurbished 15-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Sky Blue,M4,10-Core CPU,10-Core GPU,16GB,256GB,15-inch,Blue,1019.0,1199.0,180.0,15.01,Wi-Fi,https://www.apple.com/uk/shop/product/FC7A4B/A/Refurbished-15-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Sky-Blue?fnode=5ce494fdc914b5c086d670eb5f4c0f3d2d1d44e80dbcecf01c96d1b30d1b99f4bf28930d2e9efcf18ef3912ed30907c79f709c5fe53295ab4714f93cd83140183f3fbe7ca99d72f7ed418a83724ee977,FC7A4B,2025-08-27 18:11:40
Refurbished 13-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Starlight,M4,10-Core CPU,10-Core GPU,16GB,512GB,13-inch,Starlight,1019.0,1199.0,180.0,15.01,Wi-Fi,https://www.apple.com/uk/shop/product/FW103B/A/Refurbished-13-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Starlight?fnode=5ce494fdc914b5c086d670eb5f4c0f3d2d1d44e80dbcecf01c96d1b30d1b99f4bf28930d2e9efcf18ef3912ed30907c79f709c5fe53295ab4714f93cd83140183f3fbe7ca99d72f7ed418a83724ee977,FW103B,2025-08-27 18:11:40
Refurbished 15-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Silver,M4,10-Core CPU,10-Core GPU,16GB,256GB,15-inch,Silver,1019.0,1199.0,180.0,15.01,Wi-Fi,https://www.apple.com/uk/shop/product/FW1G3B/A/Refurbished-15-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Silver?fnode=5ce494fdc914b5c086d670eb5f4c0f3d2d1d44e80dbcecf01c96d1b30d1b99f4bf28930d2e9efcf18ef3912ed30907c79f709c5fe53295ab4714f93cd83140183f3fbe7ca99d72f7ed418a83724ee977,FW1G3B,2025-08-27 18:11:40
Refurbished 15-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Starlight,M4,10-Core CPU,10-Core GPU,16GB,256GB,15-inch,Starlight,1019.0,1199.0,180.0,15.01,Wi-Fi,https://www.apple.com/uk/shop/product/FW1J3B/A/Refurbished-15-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Starlight?fnode=5ce494fdc914b5c086d670eb5f4c0f3d2d1d44e80dbcecf01c96d1b30d1b99f4bf28930d2e9efcf18ef3912ed30907c79f709c5fe53295ab4714f93cd83140183f3fbe7ca99d72f7ed418a83724ee977,FW1J3B,2025-08-27 18:11:40
Refurbished 15-inch MacBook Air Apple M4 chip with 10‑Core CPU and 10‑Core GPU - Midnight,M4,10-Core CPU,10-Core GPU,16GB,256GB,15-inch,Midnight,1019.0,1199.0,180.0,15.01,Wi-Fi,https://www.apple.com/uk/shop/product/FW1L3B/A/Refurbished-15-inch-MacBook-Air-Apple-M4-chip-with-10%E2%80%91Core-CPU-and-10%E2%80%91Core-GPU-Midnight?fnode=5ce494fdc914b5c086d670eb5f4c0f3d2d1d44e80dbcecf01c96d1b30d1b99f4bf28930d2e9efcf18ef3912ed30907c79f709c5fe53295ab4714f93cd83140183f3fbe7ca99d72f7ed418a83724ee977,FW1L3B,2025-08-27 18:11:40
